,0
0,1
1,7
2,1
3,7
4,1
5,7
6,1
7,7
8,1
9,7
10,1
11,7
12,1
13,7
14,1
15,7
16,1
17,7
18,1
19,7
20,1
21,7
22,1
23,7
24,1
25,7
26,1
27,7
28,1
29,7
30,1
31,7
32,1
33,7
34,1
35,7
36,1
37,7
38,1
39,7
40,1
41,7
42,1
43,7
44,1
45,7
46,1
47,7
48,1
49,7
50,1
51,7
52,1
53,7
54,1
55,7
56,1
57,7
58,1
59,7
60,1
61,7
62,1
63,7
64,1
65,7
66,1
67,7
68,1
69,7
70,1
71,7
72,1
73,7
74,1
75,7
76,1
77,7
78,1
79,7
80,1
81,7
82,1
83,7
84,1
85,7
86,1
87,7
88,1
89,7
90,1
91,7
92,1
93,7
94,1
95,7
96,1
97,7
98,1
99,7
100,1
101,7
102,1
103,7
104,1
105,7
106,1
107,7
108,1
109,7
110,1
111,7
112,1
113,7
114,1
115,7
116,1
117,7
118,1
119,7
120,1
121,7
122,1
123,7
124,1
125,7
126,1
127,7
128,1
129,7
130,1
131,7
132,1
133,7
134,1
135,7
136,1
137,7
138,1
139,7
140,1
141,7
142,1
143,7
144,1
145,7
146,1
147,7
148,1
149,7
150,1
151,7
152,1
153,7
154,1
155,7
156,1
157,7
158,1
159,7
160,1
161,7
162,1
163,7
164,1
165,7
166,1
167,7
168,1
169,7
170,1
171,7
172,1
173,7
174,1
175,7
176,1
177,7
178,1
179,7
180,1
181,7
182,1
183,7
184,1
185,7
186,1
187,7
188,1
189,7
190,1
191,7
192,1
193,7
194,1
195,7
196,1
197,7
198,1
199,7
200,1
201,7
202,1
203,7
204,1
205,7
206,1
207,7
208,1
209,7
210,1
211,7
212,1
213,7
214,1
215,7
216,1
217,7
218,1
219,7
220,1
221,7
222,1
223,7
224,1
225,7
226,1
227,7
228,1
229,7
230,1
231,7
232,1
233,7
234,1
235,7
236,1
237,7
238,1
239,7
240,1
241,7
242,1
243,7
244,1
245,7
246,1
247,7
248,1
249,7
250,1
251,7
252,1
253,7
254,1
255,7
256,1
257,7
258,1
259,7
260,1
261,7
262,1
263,7
264,1
265,7
266,1
267,7
268,1
269,7
270,1
271,7
272,1
273,7
274,1
275,7
276,1
277,7
278,1
279,7
280,1
281,7
282,1
283,7
284,1
285,7
286,1
287,7
288,1
289,7
290,1
291,7
292,1
293,7
294,1
295,7
296,1
297,7
298,1
299,7
300,1
301,7
302,1
303,7
304,1
305,7
306,1
307,7
308,1
309,7
310,1
311,7
312,1
313,7
314,1
315,7
316,1
317,7
318,1
319,7
320,1
321,7
322,1
323,7
324,1
325,7
326,1
327,7
328,1
329,7
330,1
331,7
332,1
333,7
334,1
335,7
336,1
337,7
338,1
339,7
340,1
341,7
342,1
343,7
344,1
345,7
346,1
347,7
348,1
349,7
350,1
351,7
352,1
353,7
354,1
355,7
356,1
357,7
358,1
359,7
360,1
361,7
362,1
363,7
364,1
365,7
366,1
367,7
368,1
369,7
370,1
371,7
372,1
373,7
374,1
375,7
376,1
377,7
378,1
379,7
380,1
381,7
382,1
383,7
384,1
385,7
386,1
387,7
388,1
389,7
390,1
391,7
392,1
393,7
394,1
395,7
396,1
397,7
398,1
399,7
400,1
401,7
402,1
403,7
404,1
405,7
406,1
407,7
408,1
409,7
410,1
411,7
412,1
413,7
414,1
415,7
416,1
417,7
418,1
419,7
420,1
421,7
422,1
423,7
424,1
425,7
426,1
427,7
428,1
429,7
430,1
431,7
432,1
433,7
434,1
435,7
436,1
437,7
438,1
439,7
440,1
441,7
442,1
443,7
444,1
445,7
446,1
447,7
448,1
449,7
450,1
451,7
452,1
453,7
454,1
455,7
456,1
457,7
458,1
459,7
460,1
461,7
462,1
463,7
464,1
465,7
466,1
467,7
468,1
469,7
470,1
471,7
472,1
473,7
474,1
475,7
476,1
477,7
478,1
479,7
480,1
481,7
482,1
483,7
484,1
485,7
486,1
487,7
488,1
489,7
490,1
491,7
492,1
493,7
494,1
495,7
496,1
497,7
498,1
499,7
500,1
501,7
502,1
503,7
504,1
505,7
506,1
507,7
508,1
509,7
510,1
511,7
512,1
513,7
514,1
515,7
516,1
517,7
518,1
519,7
520,1
521,7
522,1
523,7
524,1
525,7
526,1
527,7
528,1
529,7
530,1
531,7
532,1
533,7
534,1
535,7
536,1
537,7
538,1
539,7
540,1
541,7
542,1
543,7
544,1
545,7
546,1
547,7
548,1
549,7
550,1
551,7
552,1
553,7
554,1
555,7
556,1
557,7
558,1
559,7
560,1
561,7
562,1
563,7
564,1
565,7
566,1
567,7
568,1
569,7
570,1
571,7
572,1
573,7
574,1
575,7
576,1
577,7
578,1
579,7
580,1
581,7
582,1
583,7
584,1
585,7
586,1
587,7
588,1
589,7
590,1
591,7
592,1
593,7
594,1
595,7
596,1
597,7
598,1
599,7
600,1
601,7
602,1
603,7
604,1
605,7
606,1
607,7
608,1
609,7
610,1
611,7
612,1
613,7
614,1
615,7
616,1
617,7
618,1
619,7
620,1
621,7
622,1
623,7
624,1
625,7
626,1
627,7
628,1
629,7
630,1
631,7
632,1
633,7
634,1
635,7
636,1
637,7
638,1
639,7
640,1
641,7
642,1
643,7
644,1
645,7
646,1
647,7
648,1
649,7
650,1
651,7
652,1
653,7
654,1
655,7
656,1
657,7
658,1
659,7
660,1
661,7
662,1
663,7
664,1
665,7
666,1
667,7
668,1
669,7
670,1
671,7
672,1
673,7
674,1
675,7
676,1
677,7
678,1
679,7
680,1
681,7
682,1
683,7
684,1
685,7
686,1
687,7
688,1
689,7
690,1
691,7
692,1
693,7
694,1
695,7
696,1
697,7
698,1
699,7
700,1
701,7
702,1
703,7
704,1
705,7
706,1
707,7
708,1
709,7
710,1
711,7
712,1
713,7
714,1
715,7
716,1
717,7
718,1
719,7
720,1
721,7
722,1
723,7
724,1
725,7
726,1
727,7
728,1
729,7
730,1
731,7
732,1
733,7
734,1
735,7
736,1
737,7
738,1
739,7
740,1
741,7
742,1
743,7
744,1
745,7
746,1
747,7
748,1
749,7
750,1
751,7
752,1
753,7
754,1
755,7
756,1
757,7
758,1
759,7
760,1
761,7
762,1
763,7
764,1
765,7
766,1
767,7
768,1
769,7
770,1
771,7
772,1
773,7
774,1
775,7
776,1
777,7
778,1
779,7
780,1
781,7
782,1
783,7
784,1
785,7
786,1
787,7
788,1
789,7
790,1
791,7
792,1
793,7
794,1
795,7
796,1
797,7
798,1
799,7
800,1
801,7
802,1
803,7
804,1
805,7
806,1
807,7
808,1
809,7
810,1
811,7
812,1
813,7
814,1
815,7
816,1
817,7
818,1
819,7
820,1
821,7
822,1
823,7
824,1
825,7
826,1
827,7
828,1
829,7
830,1
831,7
832,1
833,7
834,1
835,7
836,1
837,7
838,1
839,7
840,1
841,7
842,1
843,7
844,1
845,7
846,1
847,7
848,1
849,7
850,1
851,7
852,1
853,7
854,1
855,7
856,1
857,7
858,1
859,7
860,1
861,7
862,1
863,7
864,1
865,7
866,1
867,7
868,1
869,7
870,1
871,7
872,1
873,7
874,1
875,7
876,1
877,7
878,1
879,7
880,1
881,7
882,1
883,7
884,1
885,7
886,1
887,7
888,1
889,7
890,1
891,7
892,1
893,7
894,1
895,7
896,1
897,7
898,1
899,7
900,1
901,7
902,1
903,7
904,1
905,7
906,1
907,7
908,1
909,7
910,1
911,7
912,1
913,7
914,1
915,7
916,1
917,7
918,1
919,7
920,1
921,7
922,1
923,7
924,1
925,7
926,1
927,7
928,1
929,7
930,1
931,7
932,1
933,7
934,1
935,7
936,1
937,7
938,1
939,7
940,1
941,7
942,1
943,7
944,1
945,7
946,1
947,7
948,1
949,7
950,1
951,7
952,1
953,7
954,1
955,7
956,1
957,7
958,1
959,7
960,1
961,7
962,1
963,7
964,1
965,7
966,1
967,7
968,1
969,7
970,1
971,7
972,1
973,7
974,1
975,7
976,1
977,7
978,1
979,7
980,1
981,7
982,1
983,7
984,1
985,7
986,1
987,7
988,1
989,7
990,1
991,7
992,1
993,7
994,1
995,7
996,1
997,7
998,1
999,7
1000,1
1001,7
1002,1
1003,7
1004,1
1005,7
1006,1
1007,7
1008,1
1009,7
1010,1
1011,7
1012,1
1013,7
1014,1
1015,7
1016,1
1017,7
1018,1
1019,7
1020,1
1021,7
1022,1
1023,7
1024,1
1025,7
1026,1
1027,7
1028,1
1029,7
1030,1
1031,7
1032,1
1033,7
1034,1
1035,7
1036,1
1037,7
1038,1
1039,7
1040,1
1041,7
1042,1
1043,7
1044,1
1045,7
1046,1
1047,7
1048,1
1049,7
1050,1
1051,7
1052,1
1053,7
1054,1
1055,7
1056,1
1057,7
1058,1
1059,7
1060,1
1061,7
1062,1
1063,7
1064,1
1065,7
1066,1
1067,7
1068,1
1069,7
1070,1
1071,7
1072,1
1073,7
1074,1
1075,7
1076,1
1077,7
1078,1
1079,7
1080,1
1081,7
1082,1
1083,7
1084,1
1085,7
1086,1
1087,7
1088,1
1089,7
1090,1
1091,7
1092,1
1093,7
1094,1
1095,7
1096,1
1097,7
1098,1
1099,7
1100,1
1101,7
1102,1
1103,7
1104,1
1105,7
1106,1
1107,7
1108,1
1109,7
1110,1
1111,7
1112,1
1113,7
1114,1
1115,7
1116,1
1117,7
1118,1
1119,7
1120,1
1121,7
1122,1
1123,7
1124,1
1125,7
1126,1
1127,7
1128,1
1129,7
1130,1
1131,7
1132,1
1133,7
1134,1
1135,7
1136,1
1137,7
1138,1
1139,7
1140,1
1141,7
1142,1
1143,7
1144,1
